ID,capacity,diameter,height,manufacturer,lon,lat,type,time_res,bucket,cluster,scalar,offset,run_name,obs_level,country,mode,obs_rank
0003012061_E11,3300.0,132.0,80.0,Gamesa,4.451477992007303,48.76332889198929,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E12,3300.0,132.0,80.0,Gamesa,4.451837297552424,48.757657362889184,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E13,3300.0,132.0,80.0,Gamesa,4.452445865831662,48.754591482075334,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E14,3300.0,132.0,80.0,Gamesa,4.4520591253499475,48.751447741957854,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E15,3300.0,132.0,80.0,Gamesa,4.451713226301179,48.748303495988104,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E2,3300.0,132.0,80.0,Gamesa,4.438272898561584,48.767536593766785,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E3,3300.0,132.0,80.0,Gamesa,4.44039722330965,48.764632456979946,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E4,3300.0,132.0,80.0,Gamesa,4.442440877738512,48.76127947324314,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E5,3300.0,132.0,80.0,Gamesa,4.442633247709484,48.75740909121893,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E6,3300.0,132.0,80.0,Gamesa,4.443023441445494,48.75380617083311,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E7,3300.0,132.0,80.0,Gamesa,4.443430984273928,48.75083271637212,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E8,3300.0,132.0,80.0,Gamesa,4.4444810730064495,48.74650214249285,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E9,3300.0,132.0,80.0,Gamesa,4.445355806435006,48.77023966986307,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012119_E1,3000.0,132.0,86.0,SGRE,4.337306405771254,49.53158493261032,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012119_E2,3000.0,132.0,86.0,SGRE,4.3307655513649115,49.534443253090494,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012119_E3,3000.0,132.0,86.0,SGRE,4.324718718322925,49.53720592757207,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
