ID,year,month,energy_mwh,n_intervals
CAPTL_WF,2022,7,36099.324995916664,8922
CAPTL_WF,2022,8,40085.48363225,8921
CAPTL_WF,2022,9,27604.332968833332,8639
CAPTL_WF,2022,10,35716.856160833326,8925
CAPTL_WF,2022,11,31199.967092916664,8573
CAPTL_WF,2022,12,22763.089188083333,8928
CAPTL_WF,2023,1,16493.37113025,8927
CAPTL_WF,2023,2,22253.541711083333,8064
CAPTL_WF,2023,3,28489.354947,8919
CAPTL_WF,2023,4,15208.855268583331,8637
CAPTL_WF,2023,5,30011.288143583333,8927
CAPTL_WF,2023,6,43054.3393045,8634
CAPTL_WF,2023,7,36852.870206416665,8927
CAPTL_WF,2023,8,20458.55303008333,8924
CAPTL_WF,2023,9,26265.123409333333,8640
CAPTL_WF,2023,10,35604.207299,8916
CAPTL_WF,2023,11,19620.5083745,8640
CAPTL_WF,2023,12,26408.09990883333,8808
CATHROCK,2019,12,0.0,119
CATHROCK,2020,1,14805.914990416666,8927
CATHROCK,2020,2,9580.2519665,8352
CATHROCK,2020,3,14537.556673666666,8928
CATHROCK,2020,4,7087.902095833333,8636
CATHROCK,2020,5,8984.5411455,8928
CATHROCK,2020,6,13900.73670025,8639
CATHROCK,2020,7,12074.231817749998,8926
CATHROCK,2020,8,14771.794150083333,8923
CATHROCK,2020,9,13420.246738,8640
CATHROCK,2020,10,13529.7150625,8928
CATHROCK,2020,11,14580.5150005,8638
CATHROCK,2020,12,11300.463531,8922
CATHROCK,2021,1,11191.374366916665,8919
CATHROCK,2021,2,10784.121888916665,8061
CATHROCK,2021,3,9970.074444583333,8926
CATHROCK,2021,4,9295.430310916667,8638
CATHROCK,2021,5,6051.95967625,8926
CATHROCK,2021,6,11486.291838083334,8640
CATHROCK,2021,7,14767.5249825,8928
CATHROCK,2021,8,12521.754602166666,8902
CATHROCK,2021,9,9886.279452833332,8637
CATHROCK,2021,10,11763.549319416667,8927
CATHROCK,2021,11,11811.565998083333,8639
CATHROCK,2021,12,9800.228418416666,8924
CATHROCK,2022,1,9768.014600666667,8876
CATHROCK,2022,2,11589.052705,8064
CATHROCK,2022,3,12142.492916666666,8928
CATHROCK,2022,4,14856.599999999999,8640
CATHROCK,2022,5,11896.676249999999,8928
CATHROCK,2022,6,13935.216666666665,8640
CATHROCK,2022,7,13854.099666666667,8928
CATHROCK,2022,8,13613.891666666666,8928
CATHROCK,2022,9,11556.673916666667,8640
CATHROCK,2022,10,13487.641666666666,8928
CATHROCK,2022,11,8530.827860833333,8640
CATHROCK,2022,12,15125.872416666665,8928
CATHROCK,2023,1,8489.158333333333,8928
CATHROCK,2023,2,12896.166666666664,8064
CATHROCK,2023,3,8084.608341666667,8928
CATHROCK,2023,4,12020.536835833333,8640
CATHROCK,2023,5,9006.063529166666,8928
CATHROCK,2023,6,12886.572404999999,8640
CATHROCK,2023,7,14073.352833333332,8928
CATHROCK,2023,8,10867.025,8928
CATHROCK,2023,9,13177.274999999998,8640
CATHROCK,2023,10,14609.2602225,8928
CATHROCK,2023,11,9060.608333333334,8640
CATHROCK,2023,12,9797.39825,8809
CHALLHWF,2019,12,257.8333333333333,119
CHALLHWF,2020,1,11469.933329833333,8918
CHALLHWF,2020,2,9694.508334666665,8332
CHALLHWF,2020,3,14193.258319666666,8911
CHALLHWF,2020,4,10839.333323083332,8636
CHALLHWF,2020,5,13598.600012916666,8919
CHALLHWF,2020,6,9388.4333305,8627
CHALLHWF,2020,7,8937.09999925,8891
CHALLHWF,2020,8,13666.21667325,8915
CHALLHWF,2020,9,13859.458335,8635
CHALLHWF,2020,10,11479.616674583332,8925
CHALLHWF,2020,11,9470.7000045,8621
CHALLHWF,2020,12,10899.475006249999,8914
CHALLHWF,2021,1,11515.76666575,8885
CHALLHWF,2021,2,9775.683333666666,8059
CHALLHWF,2021,3,7510.449999583333,8908
CHALLHWF,2021,4,7275.816671166666,8630
CHALLHWF,2021,5,12626.783336333332,8913
CHALLHWF,2021,6,11169.733333166665,8616
CHALLHWF,2021,7,16075.324999083332,8921
CHALLHWF,2021,8,12926.699999166667,8896
CHALLHWF,2021,9,11922.824997916667,8617
CHALLHWF,2021,10,10479.74972025,8881
CHALLHWF,2021,11,11457.458335,8624
CHALLHWF,2021,12,10877.483332,8892
CHALLHWF,2022,1,9227.42500075,8909
CHALLHWF,2022,2,8401.60834025,8043
CHALLHWF,2022,3,10949.958338083334,8878
CHALLHWF,2022,4,8212.683337833332,8633
CHALLHWF,2022,5,8310.291671333332,8873
CHALLHWF,2022,6,13218.975006583332,8618
CHALLHWF,2022,7,13411.133343166666,8907
CHALLHWF,2022,8,13179.725005333334,8912
CHALLHWF,2022,9,10289.650006666667,8610
CHALLHWF,2022,10,8740.558348416667,8898
CHALLHWF,2022,11,8884.941663916667,8629
CHALLHWF,2022,12,9777.16666725,8904
CHALLHWF,2023,1,9896.94165825,8917
CHALLHWF,2023,2,8440.1000075,8011
CHALLHWF,2023,3,9293.916671833333,8918
CHALLHWF,2023,4,7046.441674583333,8626
CHALLHWF,2023,5,10248.12500575,8910
CHALLHWF,2023,6,13387.691678,8634
CHALLHWF,2023,7,13902.025010416666,8915
CHALLHWF,2023,8,10539.633327833333,8906
CHALLHWF,2023,9,10278.02500125,8571
CHALLHWF,2023,10,11990.8749965,8905
CHALLHWF,2023,11,10254.083335666666,8609
CHALLHWF,2023,12,11857.400021916666,8785
CHYTWF1,2020,4,0.0,983
CHYTWF1,2020,5,9318.574478333332,8928
CHYTWF1,2020,6,8393.972166666666,8640
CHYTWF1,2020,7,15617.091833333332,8928
CHYTWF1,2020,8,16693.48833333333,8928
CHYTWF1,2020,9,18385.828333333335,8640
CHYTWF1,2020,10,18656.360833333332,8928
CHYTWF1,2020,11,16901.261666666665,8640
CHYTWF1,2020,12,17957.94,8928
CHYTWF1,2021,1,18530.268666666663,8928
CHYTWF1,2021,2,16456.94525,8064
CHYTWF1,2021,3,15211.070416666666,8928
CHYTWF1,2021,4,10685.800916666667,8640
CHYTWF1,2021,5,14397.691666666666,8928
CHYTWF1,2021,6,14217.989333333331,8640
CHYTWF1,2021,7,15263.592666666666,8928
CHYTWF1,2021,8,12645.944166666666,8928
CHYTWF1,2021,9,12961.744666666667,8640
CHYTWF1,2021,10,13936.912499999999,8928
CHYTWF1,2021,11,16937.15583333333,8640
CHYTWF1,2021,12,19488.255833333333,8928
CHYTWF1,2022,1,14098.139166666666,8928
CHYTWF1,2022,2,14528.191666666666,8064
CHYTWF1,2022,3,15526.214999999998,8928
CHYTWF1,2022,4,12070.804083333333,8640
CHYTWF1,2022,5,8589.301666666666,8928
CHYTWF1,2022,6,13603.322333333334,8640
CHYTWF1,2022,7,15902.757499999998,8928
CHYTWF1,2022,8,14910.8555,8928
CHYTWF1,2022,9,12147.879166666668,8640
CHYTWF1,2022,10,11438.175833333333,8928
CHYTWF1,2022,11,12019.904833333332,8640
CHYTWF1,2022,12,13106.123333333333,8928
CHYTWF1,2023,1,16434.6875,8928
CHYTWF1,2023,2,16062.766666666666,8064
CHYTWF1,2023,3,13164.645833333332,8928
CHYTWF1,2023,4,11851.384166666665,8640
CHYTWF1,2023,5,13531.446666666667,8928
CHYTWF1,2023,6,15175.003333333332,8640
CHYTWF1,2023,7,14421.633333333331,8928
CHYTWF1,2023,8,12617.744999999999,8928
CHYTWF1,2023,9,13403.538333333332,8640
CHYTWF1,2023,10,15578.791666666666,8928
CHYTWF1,2023,11,19102.659166666668,8640
CHYTWF1,2023,12,15774.8275,8809
CLEMGPWF,2019,12,107.67434166666666,119
CLEMGPWF,2020,1,16517.405694166668,8928
