cluster,scalar,offset,lon,lat,type,country,elevation,slope,aspect,roughness,curvature,distance_to_coast_km,nearby_mean_correction,nearby_correction_variance,turbine_density,era5_elevation_error,era5_roughness,subgrid_terrain_variance,latitude,longitude,abs_latitude,coastal_latitude
34.0,0.7456392395864949,1.1141886324079286,-8.5,50.85294117647059,onshore,UK,-100.0,0.0,90.0,3.8673405176850997,0.0,53.65328065307375,1.0844874907412456,0.0,1,100.02255524631245,5.204597255215049e-05,0.0,50.85294117647059,-8.5,50.85294117647059,50.85294117647059
35.0,1.0844874907412456,-0.3503810950657918,-7.84375,50.85294117647059,onshore,UK,-100.0,0.0,90.0,3.8673405176850997,0.0,70.62124625961256,0.6391241183292748,0.10651512125722012,2,100.53878657913253,3.249564906582236e-05,0.0,50.85294117647059,-7.84375,50.85294117647059,50.85294117647059
36.0,0.5326089970720547,1.7093112045839474,-7.1875,50.85294117647059,onshore,UK,-100.0,0.0,90.0,3.8673405176850997,0.0,86.38546548699279,1.0002785396039755,0.08420895113727023,2,100.83514160352924,2.8204114641994238e-05,0.0,50.85294117647059,-7.1875,50.85294117647059,50.85294117647059
37.0,0.9160695884667052,0.3382015932718706,-6.53125,50.85294117647059,onshore,UK,-100.0,0.0,90.0,3.8673405176850997,0.0,64.908160173033,0.8432673634756555,0.3106583664036008,2,99.15460148534413,2.641597529873252e-05,0.0,50.85294117647059,-6.53125,50.85294117647059,50.85294117647059
38.0,1.1539257298792562,-0.6101549171496317,-5.875,50.85294117647059,onshore,UK,-100.0,0.0,90.0,3.8673405176850997,0.0,51.22729990716355,0.6166389331999828,0.2994306552667224,2,100.89289896715493,2.5819928850978613e-05,0.0,50.85294117647059,-5.875,50.85294117647059,50.85294117647059
39.0,0.3172082779332603,2.8056294148006624,-5.21875,50.85294117647059,onshore,UK,-100.0,0.0,90.0,3.8673405176850997,0.0,26.814777269417405,1.1809584750672166,0.027032745187960394,2,98.77340288541448,2.5939138140529394e-05,0.0,50.85294117647059,-5.21875,50.85294117647059,50.85294117647059
40.0,1.207991220255177,-0.83790638440348,-4.5625,50.85294117647059,onshore,UK,-49.91814525300063,0.3617443650367055,184.64608416156858,29.181244486489863,-8.175046734984747e-07,0.7158551149067679,0.7012500820937383,0.38404180416047795,2,159.3984727762884,0.3253379464149475,34.441629397713484,50.85294117647059,-4.5625,50.85294117647059,50.85294117647059
41.0,1.0852918862542162,-0.3303705492663624,-3.90625,50.85294117647059,onshore,UK,-23.882470676511275,0.24631881192605984,222.3129053765748,26.960091121637575,-1.2182964557460618e-06,26.820808241213996,1.0698103948310904,0.1381808254240865,2,204.38165084060913,0.4579964280128479,30.98886119300125,50.85294117647059,-3.90625,50.85294117647059,50.85294117647059
42.0,0.931629569407004,0.2938320742247344,-3.25,50.85294117647059,onshore,UK,-100.0,0.10523703138898532,217.93336825174885,17.340282922618734,1.4475347483840989e-07,12.436611559931329,0.9574792402676309,0.09093837929035858,3,183.92090164900858,0.16119106113910675,11.124415180530528,50.85294117647059,-3.25,50.85294117647059,50.85294117647059
43.0,0.9059272236638736,0.4061349647835471,-2.59375,50.85294117647059,onshore,UK,-100.0,0.4615329726380004,213.8702627236004,36.469760259881305,3.006653987833928e-07,13.41097644201664,1.0442130380657038,0.19594675925076907,3,179.76515975447785,0.3639722466468811,52.90523519483708,50.85294117647059,-2.59375,50.85294117647059,50.85294117647059
